Nombre_Agrupacion;ID_Agrupacion;nuts4_codigo;nuts4_nombre
Acebeda (La);280014;6;Sierra Norte
Ajalvir;280029;3;Este Metropolitano
Alameda del Valle;280035;6;Sierra Norte
Alamo (El);280040;9;Sudoeste Comunidad
Alcalá de Henares;280053;3;Este Metropolitano
Alcobendas;280066;2;Norte Metropolitano
Alcorcón;280072;4;Sur Metropolitano
Aldea del Fresno;280088;9;Sudoeste Comunidad
Algete;280091;2;Norte Metropolitano
Alpedrete;280105;11;Sierra Central
Ambite;280112;8;Sudeste Comunidad
Anchuelo;280127;8;Sudeste Comunidad
Aranjuez;280133;4;Sur Metropolitano
Arganda del Rey;280148;3;Este Metropolitano
Arroyomolinos;280151;9;Sudoeste Comunidad
Atazar (El);280164;6;Sierra Norte
Batres;280170;9;Sudoeste Comunidad
Becerril de la Sierra;280186;11;Sierra Central
Belmonte de Tajo;280199;8;Sudeste Comunidad
Berrueco (El);280210;6;Sierra Norte
Berzosa del Lozoya;280203;6;Sierra Norte
Boadilla del Monte;280225;5;Oeste Metropolitano
Boalo (El);280231;11;Sierra Central
Braojos;280246;6;Sierra Norte
Brea de Tajo;280259;8;Sudeste Comunidad
Brunete;280262;5;Oeste Metropolitano
Buitrago del Lozoya;280278;6;Sierra Norte
Bustarviejo;280284;6;Sierra Norte
Cabanillas de la Sierra;280297;6;Sierra Norte
Cabrera (La);280301;6;Sierra Norte
Cadalso de los Vidrios;280318;10;Sierra Sur
Camarma de Esteruelas;280323;7;Nordeste Comunidad
Campo Real;280339;8;Sudeste Comunidad
Canencia;280344;6;Sierra Norte
Carabaña;280357;8;Sudeste Comunidad
Casarrubuelos;280360;9;Sudoeste Comunidad
Cenicientos;280376;10;Sierra Sur
Cercedilla;280382;11;Sierra Central
Cervera de Buitrago;280395;6;Sierra Norte
Chapinería;280513;10;Sierra Sur
Chinchón;280528;8;Sudeste Comunidad
Ciempozuelos;280409;4;Sur Metropolitano
Cobeña;280416;2;Norte Metropolitano
Collado Mediano;280468;11;Sierra Central
Collado Villalba;280474;5;Oeste Metropolitano
Colmenar Viejo;280455;2;Norte Metropolitano
Colmenar de Oreja;280437;8;Sudeste Comunidad
Colmenar del Arroyo;280421;10;Sierra Sur
Colmenarejo;280442;11;Sierra Central
Corpa;280480;8;Sudeste Comunidad
Coslada;280493;3;Este Metropolitano
Cubas de la Sagra;280506;9;Sudoeste Comunidad
Daganzo de Arriba;280534;7;Nordeste Comunidad
Escorial (El);280549;11;Sierra Central
Estremera;280552;8;Sudeste Comunidad
Fresnedillas de la Oliva;280565;10;Sierra Sur
Fresno de Torote;280571;7;Nordeste Comunidad
Fuenlabrada;280587;4;Sur Metropolitano
Fuente el Saz de Jarama;280590;7;Nordeste Comunidad
Fuentidueña de Tajo;280604;8;Sudeste Comunidad
Galapagar;280611;5;Oeste Metropolitano
Garganta de los Montes;280626;6;Sierra Norte
Gargantilla del Lozoya y Pinilla de Buitrago;280632;6;Sierra Norte
Gascones;280647;6;Sierra Norte
Getafe;280650;4;Sur Metropolitano
Griñón;280663;9;Sudoeste Comunidad
Guadalix de la Sierra;280679;6;Sierra Norte
Guadarrama;280685;11;Sierra Central
Hiruela (La);280698;6;Sierra Norte
Horcajo de la Sierra-Aoslos;280702;6;Sierra Norte
Horcajuelo de la Sierra;280719;6;Sierra Norte
Hoyo de Manzanares;280724;5;Oeste Metropolitano
Humanes de Madrid;280730;4;Sur Metropolitano
Leganés;280745;4;Sur Metropolitano
Loeches;280758;8;Sudeste Comunidad
Lozoya;280761;6;Sierra Norte
Lozoyuela-Navas-Sieteiglesias;289015;6;Sierra Norte
Madarcos;280783;6;Sierra Norte
Madrid;280796;1;Municipio de Madrid
Majadahonda;280800;5;Oeste Metropolitano
Manzanares el Real;280822;11;Sierra Central
Meco;280838;7;Nordeste Comunidad
Mejorada del Campo;280843;3;Este Metropolitano
Miraflores de la Sierra;280856;11;Sierra Central
Molar (El);280869;7;Nordeste Comunidad
Molinos (Los);280875;11;Sierra Central
Montejo de la Sierra;280881;6;Sierra Norte
Moraleja de Enmedio;280894;9;Sudoeste Comunidad
Moralzarzal;280908;11;Sierra Central
Morata de Tajuña;280915;8;Sudeste Comunidad
Móstoles;280920;4;Sur Metropolitano
Navacerrada;280936;11;Sierra Central
Navalafuente;280941;6;Sierra Norte
Navalagamella;280954;10;Sierra Sur
Navalcarnero;280967;9;Sudoeste Comunidad
Navarredonda y San Mamés;280973;6;Sierra Norte
Navas del Rey;280992;10;Sierra Sur
Nuevo Baztán;281006;8;Sudeste Comunidad
Olmeda de las Fuentes;281013;8;Sudeste Comunidad
Orusco de Tajuña;281028;8;Sudeste Comunidad
Paracuellos de Jarama;281049;3;Este Metropolitano
Parla;281065;4;Sur Metropolitano
Patones;281071;6;Sierra Norte
Pedrezuela;281087;6;Sierra Norte
Pelayos de la Presa;281090;10;Sierra Sur
Perales de Tajuña;281104;8;Sudeste Comunidad
Pezuela de las Torres;281111;8;Sudeste Comunidad
Pinilla del Valle;281126;6;Sierra Norte
Pinto;281132;4;Sur Metropolitano
Piñuécar-Gandullas;281147;6;Sierra Norte
Pozuelo de Alarcón;281150;5;Oeste Metropolitano
Pozuelo del Rey;281163;8;Sudeste Comunidad
Prádena del Rincón;281179;6;Sierra Norte
Puebla de la Sierra;281185;6;Sierra Norte
Puentes Viejas;289020;6;Sierra Norte
Quijorna;281198;9;Sudoeste Comunidad
Rascafría;281202;6;Sierra Norte
Redueña;281219;6;Sierra Norte
Ribatejada;281224;7;Nordeste Comunidad
Rivas-Vaciamadrid;281230;3;Este Metropolitano
Robledillo de la Jara;281245;6;Sierra Norte
Robledo de Chavela;281258;10;Sierra Sur
Robregordo;281261;6;Sierra Norte
Rozas de Madrid (Las);281277;5;Oeste Metropolitano
Rozas de Puerto Real;281283;10;Sierra Sur
San Agustín del Guadalix;281296;2;Norte Metropolitano
San Fernando de Henares;281300;3;Este Metropolitano
San Lorenzo de El Escorial;281317;11;Sierra Central
San Martín de Valdeiglesias;281338;10;Sierra Sur
San Martín de la Vega;281322;4;Sur Metropolitano
San Sebastián de los Reyes;281343;2;Norte Metropolitano
Santa María de la Alameda;281356;10;Sierra Sur
Santorcaz;281369;8;Sudeste Comunidad
Santos de la Humosa (Los);281375;8;Sudeste Comunidad
Serna del Monte (La);281381;6;Sierra Norte
Serranillos del Valle;281408;9;Sudoeste Comunidad
Sevilla la Nueva;281415;9;Sudoeste Comunidad
Somosierra;281436;6;Sierra Norte
Soto del Real;281441;11;Sierra Central
Talamanca de Jarama;281454;7;Nordeste Comunidad
Tielmes;281467;8;Sudeste Comunidad
Titulcia;281473;8;Sudeste Comunidad
Torrejón de Ardoz;281489;3;Este Metropolitano
Torrejón de Velasco;281505;9;Sudoeste Comunidad
Torrejón de la Calzada;281492;9;Sudoeste Comunidad
Torrelaguna;281512;6;Sierra Norte
Torrelodones;281527;5;Oeste Metropolitano
Torremocha de Jarama;281533;6;Sierra Norte
Torres de la Alameda;281548;8;Sudeste Comunidad
Tres Cantos;289036;2;Norte Metropolitano
Valdaracete;281551;8;Sudeste Comunidad
Valdeavero;281564;7;Nordeste Comunidad
Valdelaguna;281570;8;Sudeste Comunidad
Valdemanco;281586;6;Sierra Norte
Valdemaqueda;281599;10;Sierra Sur
Valdemorillo;281603;11;Sierra Central
Valdemoro;281610;4;Sur Metropolitano
Valdeolmos-Alalpardo;281625;7;Nordeste Comunidad
Valdepiélagos;281631;7;Nordeste Comunidad
Valdetorres de Jarama;281646;7;Nordeste Comunidad
Valdilecha;281659;8;Sudeste Comunidad
Valverde de Alcalá;281662;8;Sudeste Comunidad
Velilla de San Antonio;281678;3;Este Metropolitano
Vellón (El);281684;6;Sierra Norte
Venturada;281697;6;Sierra Norte
Villa del Prado;281718;9;Sudoeste Comunidad
Villaconejos;281701;8;Sudeste Comunidad
Villalbilla;281723;8;Sudeste Comunidad
Villamanrique de Tajo;281739;8;Sudeste Comunidad
Villamanta;281744;9;Sudoeste Comunidad
Villamantilla;281757;9;Sudoeste Comunidad
Villanueva de Perales;281782;9;Sudoeste Comunidad
Villanueva de la Cañada;281760;5;Oeste Metropolitano
Villanueva del Pardillo;281776;11;Sierra Central
Villar del Olmo;281795;8;Sudeste Comunidad
Villarejo de Salvanés;281809;8;Sudeste Comunidad
Villaviciosa de Odón;281816;5;Oeste Metropolitano
Villavieja del Lozoya;281821;6;Sierra Norte
Zarzalejo;281837;10;Sierra Sur
